  QueueTimes | ServiceTimes | SojournTimes
       0.094 |        0.512 |        0.606
       0.096 |        0.510 |        0.606
       0.086 |        1.105 |        1.191
       0.128 |        0.595 |        0.722
       0.061 |        0.562 |        0.623
       0.085 |        2.030 |        2.115
       0.071 |        2.524 |        2.595
       0.069 |        0.727 |        0.795
       0.073 |        0.638 |        0.711
       0.139 |        0.597 |        0.737
       0.105 |        0.660 |        0.764
       0.091 |        0.891 |        0.981
       0.197 |        0.588 |        0.785
       0.172 |        1.077 |        1.249
       0.084 |        1.107 |        1.191
       0.145 |        1.374 |        1.519
       0.094 |        1.820 |        1.914
       0.122 |        1.478 |        1.599
       0.077 |        1.604 |        1.681
       0.124 |        0.376 |        0.500
       0.134 |        0.704 |        0.838
       0.236 |        0.720 |        0.956
       0.192 |        0.388 |        0.580
       0.147 |        0.405 |        0.552
       0.101 |        0.818 |        0.919
       0.068 |        0.310 |        0.377
       0.089 |        1.337 |        1.425
       0.091 |        1.086 |        1.177
       0.094 |        2.193 |        2.287
       0.072 |        0.399 |        0.470
       0.160 |        1.952 |        2.112
       0.074 |        0.536 |        0.610
       0.147 |        0.744 |        0.891
       0.088 |        0.866 |        0.954
       0.208 |        0.339 |        0.547
       0.073 |        0.624 |        0.698
       0.134 |        0.508 |        0.641
       0.071 |        0.597 |        0.669
       0.072 |        1.059 |        1.131
       0.125 |        2.196 |        2.321
       0.099 |        2.828 |        2.927
       0.114 |        0.438 |        0.552
       0.134 |        1.268 |        1.402
       0.079 |        0.680 |        0.759
       0.137 |        0.714 |        0.851
       0.151 |        0.637 |        0.788
       0.103 |        2.397 |        2.500
       0.063 |        0.409 |        0.472
       0.081 |        1.682 |        1.763
       0.206 |        0.561 |        0.767
       0.113 |        0.728 |        0.841
       0.058 |        0.531 |        0.589
       0.129 |        3.398 |        3.527
       0.063 |        1.132 |        1.195
       0.164 |        0.806 |        0.969
       0.168 |        0.568 |        0.736
       0.110 |        0.432 |        0.542
       0.066 |        0.505 |        0.571
       0.076 |        0.980 |        1.055
       0.087 |        0.582 |        0.668
       0.080 |        0.498 |        0.579
       0.117 |        2.255 |        2.372
       0.139 |        1.119 |        1.258
       0.184 |        1.455 |        1.638
       0.161 |        1.803 |        1.964
       0.079 |        0.557 |        0.636
       0.133 |        0.563 |        0.696
       0.098 |        1.649 |        1.748
       0.058 |        0.308 |        0.365
       0.077 |        1.751 |        1.828
       0.234 |        1.763 |        1.997
       0.071 |        0.655 |        0.725
       0.066 |        0.369 |        0.435
       0.058 |        1.444 |        1.503
       0.076 |        1.047 |        1.123
       0.080 |        2.122 |        2.202
       0.069 |        0.731 |        0.800
       0.077 |        3.073 |        3.150
       0.094 |        2.985 |        3.079
       0.111 |        1.163 |        1.274
       0.076 |        0.681 |        0.757
       0.200 |        0.356 |        0.557
       0.179 |        0.461 |        0.640
       0.082 |        0.638 |        0.720
       0.084 |        0.465 |        0.549
       0.236 |        0.627 |        0.862
       0.112 |        0.335 |        0.446
       0.244 |        0.759 |        1.003
       0.139 |        0.709 |        0.849
       0.115 |        0.531 |        0.646
       0.096 |        1.175 |        1.271
       0.062 |        0.794 |        0.856
       0.069 |        0.778 |        0.847
       0.202 |        0.380 |        0.582
       0.149 |        0.609 |        0.758
       0.122 |        1.072 |        1.194
       0.098 |        1.233 |        1.330
       0.080 |        0.654 |        0.735
       0.069 |        1.857 |        1.926
       0.084 |        2.551 |        2.635
       0.067 |        1.616 |        1.683
       0.141 |        0.646 |        0.787
       0.139 |        3.393 |        3.532
       0.062 |        0.848 |        0.910
       0.239 |        1.344 |        1.583
       0.070 |        0.426 |        0.496
       0.148 |        1.781 |        1.929
       0.114 |        2.525 |        2.640
       0.111 |        0.798 |        0.909
       0.052 |        0.345 |        0.397
       0.069 |        1.699 |        1.768
       0.083 |        2.965 |        3.048
       0.067 |        0.762 |        0.828
       0.127 |        0.541 |        0.668
       0.093 |        1.102 |        1.195
       0.086 |        0.395 |        0.481
       0.069 |        1.419 |        1.489
       0.060 |        2.072 |        2.132
       0.120 |        0.624 |        0.745
       0.077 |        3.928 |        4.005
       0.073 |        0.920 |        0.993
       0.089 |        1.583 |        1.671
       0.072 |        1.225 |        1.297
       0.109 |        0.387 |        0.496
       0.139 |        1.550 |        1.689
       0.315 |        0.604 |        0.919
       0.063 |        0.493 |        0.556
       0.092 |        0.287 |        0.380
       0.106 |        0.735 |        0.841
       0.140 |        1.930 |        2.071
       0.069 |        0.559 |        0.628
       0.109 |        0.914 |        1.022
       0.068 |        2.182 |        2.251
       0.074 |        0.711 |        0.785
       0.076 |        2.117 |        2.193
       0.110 |        2.808 |        2.918
